id;name;state_id
159;Menzel Temime;16
160;Nabeul;16
161;Beni Khiar;16
162;Beni Khalled;16
163;Hammamet;16
164;El Haouaria;16
165;Kelibia;16
166;Grombalia;16
167;El Mida;16
168;Bou Argoub;16
169;Dar Chaabane Elfehri;16
170;Hammam El Ghezaz;16
171;EL Hencha;17
172;Esskhira;17
173;Ghraiba;17
174;El Amra;17
175;Bir Ali Ben Khelifa;17
176;Agareb;17
177;Sfax Ville;17
178;Sakiet Eddaier;17
179;Mahras;17
180;Menzel Chaker;17
181;Sfax Est;17
182;Sfax Sud;17
183;Jebeniana;17
184;Kerkenah;17
185;Sakiet Ezzit;17
186;Ben Oun;18
187;Bir El Haffey;18
188;Jimla;18
189;Cebbala;18
190;Ouled Haffouz;18
191;Mezzouna;18
192;Regueb;18
193;Sidi Bouzid Ouest;18
194;Souk Jedid;18
195;Sidi Bouzid Est;18
196;Maknassy;18
197;Menzel Bouzaiene;18
198;Siliana Sud;19
199;Sidi Bou Rouis;19
200;Siliana Nord;19
201;Gaafour;19
202;Kesra;19
203;Le Krib;19
204;Bou Arada;19
205;Bargou;19
206;Makthar;19
207;Rohia;19
208;El Aroussa;19
209;Sidi Bou Ali;20
210;Sidi El Heni;20
211;Sousse Jaouhara;20
212;Sousse Riadh;20
213;Sousse Ville;20
214;Bou Ficha;20
215;Akouda;20
216;Hammam Sousse;20
217;Kalaa Essghira;20
218;Kondar;20
219;Msaken;20
220;Enfidha;20
221;Hergla;20
222;Kalaa El Kebira;20
223;Sousse;20
224;Tataouine Sud;21
225;Bir Lahmar;21
226;Dhehiba;21
227;Ghomrassen;21
228;Tatouine Nord;21
229;Remada;21
230;Smar;21
231;Degueche;22
232;Tozeur;22
233;Hezoua;22
234;Nefta;22
235;Tameghza;22
236;El Menzeh;23
237;El Hrairia;23
238;El Kabbaria;23
239;El Kram;23
240;Bab Souika;23
241;Carthage;23
242;Cité El Khadra;23
243;Bab Bhar;23
244;La Marsa;23
245;Ezzouhour;23
246;Jebel Jelloud;23
247;Sidi El Bechir;23
248;La Goulette;23
249;Le Bardo;23
250;El Omrane;23
251;El Omrane Supérieur;23
252;El Ouerdia;23
253;Ettahrir;23
254;Sidi Hassine;23
255;Essijoumi;23
256;La Medina;23
257;Ennadhour;24
258;El Fahs;24
259;Bir Mcherga;24
260;Zaghouan;24
261;Hammam Zriba;24
262;Saouef;24
